City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Santa Cruz,BO,2022-11-28 23:43:08,-17.8,-63.1667,91.45,31,40,8.05
160,Hofn,IS,2022-11-28 23:45:57,64.2539,-15.2082,36.43,76,62,7.76
161,Eureka,US,2022-11-28 23:45:47,40.8021,-124.1637,50.94,80,83,5.99
162,Chokurdakh,RU,2022-11-28 23:45:57,70.6333,147.9167,-30.39,99,99,4.54
163,Shu,KZ,2022-11-28 23:45:58,43.5983,73.7614,28.62,47,100,5.64
164,Yerbogachen,RU,2022-11-28 23:45:58,61.2767,108.0108,-16.44,100,100,1.34
165,Lufkin,US,2022-11-28 23:45:58,31.3382,-94.7291,69.71,68,0,3.44
166,Mbandaka,CD,2022-11-28 23:45:59,0.0487,18.2603,69.69,94,85,1.14
167,Malakal,SS,2022-11-28 23:45:59,9.5334,31.6605,76.8,40,30,2.33
168,Loharu,IN,2022-11-28 23:45:59,28.45,75.8167,58.91,30,5,3.02
169,East London,ZA,2022-11-28 23:46:00,-33.0153,27.9116,66.6,79,44,18.95
170,Agadez,NE,2022-11-28 23:46:00,19.75,10.25,60.19,26,96,6.96
171,Pundaguitan,PH,2022-11-28 23:46:00,6.3711,126.1689,81.86,78,99,14.32
172,Pathein,MM,2022-11-28 23:46:01,16.7833,94.7333,74.17,93,15,0.67
173,Ambilobe,MG,2022-11-28 23:46:01,-13.2,49.05,72.37,82,44,2.64
174,Polyarnyy,RU,2022-11-28 23:46:02,69.1989,33.4478,25.14,91,45,9.24
175,Ancud,CL,2022-11-28 23:46:02,-41.8697,-73.8203,59.23,85,35,8.39
176,Zhanaozen,KZ,2022-11-28 23:46:03,43.3,52.8,39.54,72,98,6.67
177,Husavik,IS,2022-11-28 23:46:03,66.0449,-17.3389,28.63,65,8,13.58
178,Camacha,PT,2022-11-28 23:46:03,33.0833,-16.3333,63.82,68,40,10.36
179,Lompoc,US,2022-11-28 23:44:56,34.6391,-120.4579,63.84,71,0,20.71
180,Port Lincoln,AU,2022-11-28 23:46:04,-34.7333,135.8667,62.69,56,54,6.76
181,Kulhudhuffushi,MV,2022-11-28 23:46:04,6.6221,73.07,79.92,73,97,2.37
182,Grindavik,IS,2022-11-28 23:46:05,63.8424,-22.4338,34.27,75,20,9.22
183,Okhotsk,RU,2022-11-28 23:46:05,59.3833,143.3,-1.88,87,97,16.08
184,Pangody,RU,2022-11-28 23:46:05,65.85,74.4859,5.88,92,100,8.23
185,Shinjo,JP,2022-11-28 23:47:06,38.7586,140.3008,50.88,85,100,4.85
186,Nome,US,2022-11-28 23:47:06,64.5011,-165.4064,8.67,53,0,5.75
187,Aktash,RU,2022-11-28 23:47:07,50.3,87.7333,-22.72,72,10,3.42
188,Altamira,BR,2022-11-28 23:47:07,-3.2033,-52.2064,79.88,65,91,0.78
189,Saint Anthony,US,2022-11-28 23:47:07,45.0205,-93.218,39.15,72,0,5.75
190,Tuktoyaktuk,CA,2022-11-28 23:47:08,69.4541,-133.0374,-11.2,77,100,6.91
191,Kiruna,SE,2022-11-28 23:47:08,67.8557,20.2251,27.52,93,75,20.71
192,Lyudinovo,RU,2022-11-28 23:47:09,53.8664,34.4478,25.18,92,100,6.78
193,Sabang,ID,2022-11-28 23:47:09,5.8933,95.3214,81.41,78,86,10.42
194,Shache,CN,2022-11-28 23:47:09,38.4167,77.2406,25.32,22,100,7.58
195,Mogadouro,PT,2022-11-28 23:47:10,41.3403,-6.7119,39.25,94,48,4.52
196,Cherskiy,RU,2022-11-28 23:47:10,68.75,161.3,2.17,97,100,6.67
197,Henties Bay,NA,2022-11-28 23:47:10,-22.116,14.2845,58.93,83,3,1.25
198,Verkhniy Avzyan,RU,2022-11-28 23:47:11,53.5289,57.5372,0.95,94,23,2.51
199,Jinchang,CN,2022-11-28 23:47:11,38.4953,102.1739,5.63,27,53,7.31
200,Dingle,PH,2022-11-28 23:47:12,10.9995,122.6711,80.13,86,98,9.66
201,Sarakhs,IR,2022-11-28 23:47:12,36.5449,61.1577,50.02,69,27,3.47
202,Xuanhua,CN,2022-11-28 23:47:12,40.6103,115.0447,7.65,19,19,23.8
203,Villarrobledo,ES,2022-11-28 23:47:13,39.2699,-2.6012,40.78,75,13,7.34
204,Diamantino,BR,2022-11-28 23:47:13,-14.4086,-56.4461,80.65,31,6,3.31
205,Adrar,MR,2022-11-28 23:47:14,20.5022,-10.0711,62.98,16,0,11.99
206,Ludvika,SE,2022-11-28 23:47:14,60.1496,15.1878,33.78,98,100,4.79
207,Palma Di Montechiaro,IT,2022-11-28 23:47:14,37.1926,13.765,51.31,79,93,9.48
208,Yenagoa,NG,2022-11-28 23:47:15,4.9247,6.2642,76.17,89,44,3.87
209,Tacuarembo,UY,2022-11-28 23:47:15,-31.7333,-55.9833,76.28,45,0,13.24
210,Vagur,FO,2022-11-28 23:47:15,61.4732,-6.8119,47.61,85,10,6.62
211,Ust-Tsilma,RU,2022-11-28 23:47:16,65.441,52.1498,14.2,97,98,3.65
212,Aklavik,CA,2022-11-28 23:47:16,68.2191,-135.0107,-25.53,95,44,5.66
213,New Norfolk,AU,2022-11-28 23:47:16,-42.7826,147.0587,56.91,50,82,5.99
214,Takoradi,GH,2022-11-28 23:47:17,4.8845,-1.7554,78.15,83,61,7.23
215,Kavieng,PG,2022-11-28 23:47:17,-2.5744,150.7967,84.74,62,22,6.31
216,Polunochnoye,RU,2022-11-28 23:47:18,60.8697,60.4153,-0.8,94,97,3.09
217,Abong Mbang,CM,2022-11-28 23:47:18,3.9833,13.1833,66.52,88,63,2.17
218,Bathsheba,BB,2022-11-28 23:47:18,13.2167,-59.5167,79.41,73,20,18.41
219,Alice Springs,AU,2022-11-28 23:47:19,-23.7,133.8833,74.75,29,0,17.27
220,Mattru,SL,2022-11-28 23:47:19,7.6244,-11.8332,73.72,92,83,2.08
221,Sunrise Manor,US,2022-11-28 23:47:20,36.2111,-115.0731,65.46,27,20,3.44
222,Senno,RU,2022-11-28 23:47:20,59.5336,33.9167,22.26,92,90,6.73
223,Vostok,RU,2022-11-28 23:47:20,46.4856,135.8833,24.82,95,100,3.47
224,Shubarshi,KZ,2022-11-28 23:47:21,48.5872,57.1869,22.95,45,100,12.91
225,Arraial Do Cabo,BR,2022-11-28 23:47:21,-22.9661,-42.0278,73.36,94,75,10.36
226,Tarusa,RU,2022-11-28 23:47:21,54.7233,37.1767,17.71,96,98,5.79
227,Pemangkat,ID,2022-11-28 23:47:22,1.1667,108.9667,79.38,83,76,2.53
228,Kahului,US,2022-11-28 23:47:22,20.8947,-156.47,75.97,88,75,9.22
229,Montoro,ES,2022-11-28 23:48:23,38.0241,-4.3834,48.97,60,6,4.25
230,Lebu,CL,2022-11-28 23:48:23,-37.6167,-73.65,57.31,88,11,15.1
231,Kudahuvadhoo,MV,2022-11-28 23:48:23,2.6708,72.8944,79.99,69,90,4.92
232,Cessnock,AU,2022-11-28 23:48:24,-32.8333,151.35,77.43,28,7,4.5
